Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1129,PSB2526/INV-1129,Being Sale of Goods - Accounted,6 Pr,,4825.70,5067.00 Dr,4825.70 Cr,241.30 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,2 Pr,704.76/Pr,1409.52,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1130,PSB2526/INV-1130,Being Sale of Goods - Accounted,7 Pr,,6127.60,6434.00 Dr,6127.60 Cr,306.40 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1131,PSB2526/INV-1131,Being Sale of Goods - Accounted,2 Pr,,1409.52,1480.00 Dr,1409.52 Cr,70.48 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
06-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1132,PSB2526/INV-1132,Being Sale of Goods - Accounted,1 Pr,,704.76,740.00 Dr,704.76 Cr,35.24 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
07-Oct-25,Walk-King Shoe Company,PSB2526/INV-1133,PSB2526/INV-1133,Being Sale of Goods - Accounted,1 Pr,,1476.00,1550.00 Dr,1476.00 Cr,73.80 Cr,0.20 Cr,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
07-Oct-25,Walk-King Shoe Company,PSB2526/INV-1134,PSB2526/INV-1134,Being Sale of Goods - Accounted,9 Pr,,13038.00,13690.00 Dr,13038.00 Cr,651.90 Cr,0.10 Cr,,,,,
,Reebok Champion Shoe (Size 06 Y) - Black,,,,2 Pr,1353.00/Pr,2706.00,,,,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,3 Pr,1476.00/Pr,4428.00,,,,,,,,,
,Reebok Champion Shoe (Size 11 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
,Reebok Champion Shoe (Size 12 US) - Black,,,,1 Pr,1476.00/Pr,1476.00,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1135,PSB2526/INV-1135,Being Sale of Goods - Accounted,28 Pr,,24293.28,25508.00 Dr,24293.28 Cr,1214.67 Cr,0.05 Cr,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,3 Pr,704.76/Pr,2114.28,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,867.62/Pr,1735.24,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,4 Pr,867.62/Pr,3470.48,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,5 Pr,921.90/Pr,4609.50,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,2 Pr,921.90/Pr,1843.80,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,3 Pr,921.90/Pr,2765.70,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,921.90/Pr,921.90,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1136,PSB2526/INV-1136,Being Sale of Goods - Accounted,31 Pr,,23638.98,24821.00 Dr,23638.98 Cr,1181.95 Cr,0.07 Cr,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,21 Pr,704.76/Pr,14799.96,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,867.62/Pr,867.62,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,6 Pr,921.90/Pr,5531.40,,,,,,,,,
07-Oct-25,Radcliffe Education Pvt Ltd (M),PSB2526/INV-1137,PSB2526/INV-1137,Being Sale of Goods - Accounted,9 Pr,,7537.14,7914.00 Dr,7537.14 Cr,376.86 Cr,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,704.76/Pr,704.76,,,,,,,,,
