Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Shipping Local GST @ 12%,Output IGST @ 12%,Output CGST @ 9%,Output SGST @ 9%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 12%,Input IGST @ 18%,Input SGST @ 6%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 18%
02-Apr-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-001,PSB25-26/INV-001,Being Sale of Goods - Accounted,612 Pr,,717660.00,846839.00 Dr,717660.00 Cr,129178.80 Cr,0.20 Cr,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,72 Pr,1125.00/Pr,81000.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,84 Pr,1125.00/Pr,94500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,132 Pr,1125.00/Pr,148500.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,144 Pr,1215.00/Pr,174960.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,180 Pr,1215.00/Pr,218700.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-002,PSB25-26/INV-002,Being Sale of Goods - Accounted,207 Pr,,179400.00,200928.00 Dr,179400.00 Cr,,,10764.00 Cr,10764.00 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,10 Pr,740.00/Pr,7400.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,20 Pr,740.00/Pr,14800.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,22 Pr,740.00/Pr,16280.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,20 Pr,911.00/Pr,18220.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,10 Pr,968.00/Pr,9680.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,5 Pr,968.00/Pr,4840.00,,,,,,,,,,,,,,,,,,,,,
02-Apr-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-003,PSB25-26/INV-003,Being Sale of Goods - Accounted,197 Pr,,170290.00,190725.00 Dr,170290.00 Cr,,0.20 Cr,10217.40 Cr,10217.40 Cr,,,,,,,,,,,,,,,
