Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 12%,Output IGST @ 18%,Round Off,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,TCS on Sales (0.1%),Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 9%,Output SGST @ 9%,Input CGST @ 2.5%,Input SGST @ 2.5%,Input CGST @ 6%,Input SGST @ 6%,Input CGST @ 9%,Input SGST @ 9%,Local GST Sales @ 5%,Local GST Sales @ 18%,Interstate GST Sales @ 5%
03-Feb-25,S-Mart Departmental Store,PSB24-25/INV-821,PSB24-25/INV-821,Being Sale of Goods - Accounted,36 Pr,,33346.00,38004.00 Dr,33346.00 Cr,2689.32 Cr,1968.30 Cr,0.38 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,5 Pr,701.00/Pr,3505.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,5 Pr,831.00/Pr,4155.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,5 Pr,831.00/Pr,4155.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,5 Pr,883.00/Pr,4415.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,2 Pr,883.00/Pr,1766.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,5 Pr,1215.00/Pr,6075.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1215.00/Pr,2430.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,2 Pr,1215.00/Pr,2430.00,,,,,,,,,,,,,,,,,,,,,,
05-Feb-25,SAI AKSHAYA ASSOCIATES,PSB24-25/INV-822,PSB24-25/INV-822,Being Sale of Goods - Accounted,680 Pcs,,338870.00,355814.00 Dr,338870.00 Cr,,,0.50 Cr,16943.50 Cr,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 22,,,,15 Pcs,489.00/Pcs,7335.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 24,,,,65 Pcs,489.00/Pcs,31785.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 26,,,,155 Pcs,489.00/Pcs,75795.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 28,,,,155 Pcs,489.00/Pcs,75795.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 30,,,,80 Pcs,509.00/Pcs,40720.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 32,,,,55 Pcs,509.00/Pcs,27995.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 34,,,,45 Pcs,509.00/Pcs,22905.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 36,,,,55 Pcs,509.00/Pcs,27995.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 38,,,,30 Pcs,519.00/Pcs,15570.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 40,,,,15 Pcs,519.00/Pcs,7785.00,,,,,,,,,,,,,,,,,,,,,,
,Amaltas Sweat Shirt - 42,,,,10 Pcs,519.00/Pcs,5190.00,,,,,,,,,,,,,,,,,,,,,,
10-Feb-25,Mr. Soman,PSB24-25/INV-823,PSB24-25/INV-823,Being Sale of Goods - Accounted,37 Pr,,2812.00,2953.00 Dr,2812.00 Cr,,,0.40 Cr,,70.30 Cr,70.30 Cr,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - M,,,,20 Pr,76.00/Pr,1520.00,,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - L,,,,1 Pr,76.00/Pr,76.00,,,,,,,,,,,,,,,,,,,,,,
,VPS Black Crew Length Socks (P/1) - XL,,,,16 Pr,76.00/Pr,1216.00,,,,,,,,,,,,,,,,,,,,,,
12-Feb-25,ETERNAL TRADING CO,PSB24-25/INV-824,PSB24-25/INV-824,Being Sale of Goods - Accounted,8 Pr,,5889.00,6603.00 Dr,5889.00 Cr,706.68 Cr,,0.32 Cr,,,,7.00 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,919.50/Pr,919.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,919.50/Pr,919.50,,,,,,,,,,,,,,,,,,,,,,
