Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output IGST @ 12%,TCS on Sales (0.1%),Shipping Interstate GST @ 12%,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 18%
01-Jan-25,Delhi Public School - Whitefield,PSB24-25/INV-796,PSB24-25/INV-796,Being Sale of Goods - Accounted,7 Pr,,10205.95,12043.00 Dr,10205.95 Cr,918.52 Cr,918.52 Cr,0.01 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1143.22/Pr,1143.22,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,1 Pr,1439.83/Pr,1439.83,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,2 Pr,1524.58/Pr,3049.16,,,,,,,,,,,,,,,,,,,,
02-Jan-25,R M SURESH & CO,PSB24-25/INV-797,PSB24-25/INV-797,Being Sale of Goods - Accounted,9 Pr,,9305.55,10643.00 Dr,9305.55 Cr,330.62 Cr,330.62 Cr,0.37 Cr,337.92 Cr,337.92 Cr,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,959.52/Pr,959.52,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1224.51/Pr,2449.02,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,1 Pr,1224.51/Pr,1224.51,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,934.50/Pr,934.50,,,,,,,,,,,,,,,,,,,,
06-Jan-25,"DAC'S INC .,",PSB24-25/INV-798,PSB24-25/INV-798,Being Sale of Goods - Accounted,6 Pr,,6360.00,7505.00 Dr,6360.00 Cr,572.40 Cr,572.40 Cr,0.20 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,3 Pr,1060.00/Pr,3180.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,3 Pr,1060.00/Pr,3180.00,,,,,,,,,,,,,,,,,,,,
06-Jan-25,INSPIRE ENTERPRISES,PSB24-25/INV-799,PSB24-25/INV-799,Being Sale of Goods - Accounted,4 Pr,,7488.12,8836.00 Dr,7488.12 Cr,,,0.02 Cr,,,1347.86 Cr,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 04 Y) - Black,,,,2 Pr,1872.03/Pr,3744.06,,,,,,,,,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 05 Y) - Black,,,,2 Pr,1872.03/Pr,3744.06,,,,,,,,,,,,,,,,,,,,
09-Jan-25,HITESH CREATIONS (J P NAGAR),PSB24-25/INV-800,PSB24-25/INV-800,Being Sale of Goods - Accounted,1 Pr,,911.00,1095.00 Dr,911.00 Cr,,,0.32 Dr,58.68 Cr,58.68 Cr,,66.96 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,,,,,,,,,,,,
09-Jan-25,VICTORY EDUCORP SOLUTIONS PVT LTD,PSB24-25/INV-801,PSB24-25/INV-801,Being Sale of Goods - Accounted,24 Pr,,22560.00,25267.00 Dr,22560.00 Cr,,,0.20 Dr,,,,,2707.20 Cr,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,24 Pr,940.00/Pr,22560.00,,,,,,,,,,,,,,,,,,,,
09-Jan-25,H AND M ENTERPRISES (DPS),PSB24-25/INV-802,PSB24-25/INV-802,Being Sale of Goods - Accounted,24 Pr,,28080.00,33167.00 Dr,28080.00 Cr,2527.20 Cr,2527.20 Cr,0.40 Dr,,,,,,33.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1104.00/Pr,2208.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1104.00/Pr,2208.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,2 Pr,1104.00/Pr,2208.00,,,,,,,,,,,,,,,,,,,,
