Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 6%,Output SGST @ 6%,Round Off,Output IGST @ 12%,Output IGST @ 18%,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 5%,Shipping Interstate GST @ 18%,Shipping Local GST @ 18%,Output CGST @ 2.5%,Output SGST @ 2.5%,Input CGST @ 2.5%,Input SGST @ 2.5%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
01-Jul-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-764,PSB25-26/INV-764,Being Sale of Goods - Accounted,3 Pr,,2733.00,3061.00 Dr,2733.00 Cr,163.98 Cr,163.98 Cr,0.04 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,3 Pr,911.00/Pr,2733.00,,,,,,,,,,,,,,,,,,,,,,
01-Jul-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-765,PSB25-26/INV-765,Being Sale of Goods - Accounted,5 Pr,,4153.00,4651.00 Dr,4153.00 Cr,,,0.36 Dr,498.36 Cr,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,3 Pr,917.00/Pr,2751.00,,,,,,,,,,,,,,,,,,,,,,
01-Jul-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-766,PSB25-26/INV-766,Being Sale of Goods - Accounted,1 Pr,,1440.00,1699.00 Dr,1440.00 Cr,,,0.20 Dr,,259.20 Cr,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1440.00/Pr,1440.00,,,,,,,,,,,,,,,,,,,,,,
01-Jul-25,MICKEY AND MINNIE CLOTHING,PSB25-26/INV-767,PSB25-26/INV-767,Being Sale of Goods - Accounted,7 Pr,,9475.00,11181.00 Dr,9475.00 Cr,,,0.50 Cr,,,852.75 Cr,852.75 Cr,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - White,,,,2 Pr,1350.00/Pr,2700.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,1 Pr,1375.00/Pr,1375.00,,,,,,,,,,,,,,,,,,,,,,
01-Jul-25,GoScholar,PSB25-26/INV-768,PSB25-26/INV-768,Being Sale of Goods - Accounted,150 Pr,,19500.00,20475.00 Dr,19500.00 Cr,,,,,,,,975.00 Cr,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - XS,,,,90 Pr,130.00/Pr,11700.00,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - S,,,,10 Pr,130.00/Pr,1300.00,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - M,,,,5 Pr,130.00/Pr,650.00,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - L,,,,20 Pr,130.00/Pr,2600.00,,,,,,,,,,,,,,,,,,,,,,
,NGIS Grey Melange Ankle Socks (P/2) - XL,,,,25 Pr,130.00/Pr,3250.00,,,,,,,,,,,,,,,,,,,,,,
01-Jul-25,GoScholar,PSB25-26/INV-769,PSB25-26/INV-769,Being Sale of Goods - Accounted,30 Pr,,5850.00,6143.00 Dr,5850.00 Cr,,,0.50 Cr,,,,,292.50 Cr,,,,,,,,,,,,
,Stem White with Grey Ankle Length Socks (P/3) - S,,,,30 Pr,195.00/Pr,5850.00,,,,,,,,,,,,,,,,,,,,,,
02-Jul-25,Think Infinity School,PSB25-26/INV-770,PSB25-26/INV-770,Being Sale of Goods - Accounted,15 Pr,,22875.00,26993.00 Dr,22875.00 Cr,,,0.50 Cr,,4117.50 Cr,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,5 Pr,1525.00/Pr,7625.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,5 Pr,1525.00/Pr,7625.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,5 Pr,1525.00/Pr,7625.00,,,,,,,,,,,,,,,,,,,,,,
02-Jul-25,Samaikya Edu Services Pvt Ltd,PSB25-26/INV-771,PSB25-26/INV-771,Being Sale of Goods - Accounted,25 Pr,,33038.21,38985.00 Dr,33038.21 Cr,,,0.09 Dr,,5946.88 Cr,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 02 Y) - Black,,,,10 Pr,1304.24/Pr,13042.40,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,4 Pr,1304.24/Pr,5216.96,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,3 Pr,1304.24/Pr,3912.72,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,5 Pr,1304.24/Pr,6521.20,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,3 Pr,1448.31/Pr,4344.93,,,,,,,,,,,,,,,,,,,,,,
02-Jul-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-772,PSB25-26/INV-772,Being Sale of Goods - Accounted,26 Pr,,34398.00,40590.00 Dr,34398.00 Cr,,,0.36 Cr,,,3095.82 Cr,3095.82 Cr,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 C) - Black,,,,14 Pr,1323.00/Pr,18522.00,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 C) - Black,,,,12 Pr,1323.00/Pr,15876.00,,,,,,,,,,,,,,,,,,,,,,
02-Jul-25,SAI ANUGRAHA TRADERS,PSB25-26/INV-773,PSB25-26/INV-773,Being Sale of Goods - Accounted,8 Pr,,9720.00,11470.00 Dr,9720.00 Cr,,,0.40 Cr,,1749.60 Cr,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,8 Pr,1215.00/Pr,9720.00,,,,,,,,,,,,,,,,,,,,,,
