Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Input CGST @ 2.5%,Input SGST @ 2.5%,Output IGST @ 18%,Output IGST @ 5%,Output IGST @ 12%,Input IGST @ 12%,Input IGST @ 18%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
01-Jun-25,Walk in Customers - Sahakar Nagar,PSB25-26/INV-455,PSB25-26/INV-455,Being Sale of Goods - Accounted,364 Pr,,583689.60,688754.00 Dr,583689.60 Cr,52532.06 Cr,52532.06 Cr,0.28 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 9 C) - Black,,,,6 Pr,1309.32/Pr,7855.92,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,10 Pr,1309.32/Pr,13093.20,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,17 Pr,1295.76/Pr,22027.92,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,41 Pr,1324.58/Pr,54307.78,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,20 Pr,1311.86/Pr,26237.20,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,36 Pr,1646.61/Pr,59277.96,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,33 Pr,1632.20/Pr,53862.60,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,31 Pr,1633.05/Pr,50624.55,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,32 Pr,1635.59/Pr,52338.88,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,33 Pr,1784.75/Pr,58896.75,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,23 Pr,1768.64/Pr,40678.72,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,28 Pr,1772.88/Pr,49640.64,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,21 Pr,1770.34/Pr,37177.14,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,14 Pr,1769.49/Pr,24772.86,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,11 Pr,1763.56/Pr,19399.16,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,4 Pr,1771.19/Pr,7084.76,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,1 Pr,1566.95/Pr,1566.95,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1949.15/Pr,1949.15,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,Walk in Customers - Kammanahalli,PSB25-26/INV-456,PSB25-26/INV-456,Being Sale of Goods - Accounted,21 Pr,,38048.27,44897.00 Dr,38048.27 Cr,3424.34 Cr,3424.34 Cr,0.05 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,1355.51/Pr,2711.02,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,2 Pr,1949.15/Pr,3898.30,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,1 Pr,1949.15/Pr,1949.15,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1821.61/Pr,3643.22,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,2 Pr,1949.15/Pr,3898.30,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1440.68/Pr,1440.68,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,2 Pr,1949.15/Pr,3898.30,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1949.15/Pr,1949.15,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,2 Pr,1821.61/Pr,3643.22,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,2 Pr,1949.15/Pr,3898.30,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,Walk in Customers - Shree Shyam,PSB25-26/INV-457,PSB25-26/INV-457,Being Sale of Goods - Accounted,211 Pr,,284614.99,335077.00 Dr,284614.99 Cr,25083.11 Cr,25083.11 Cr,0.07 Cr,147.86 Cr,147.86 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,2 Pr,1185.59/Pr,2371.18,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,4 Pr,1249.15/Pr,4996.60,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,9 Pr,1233.05/Pr,11097.45,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,12 Pr,1227.97/Pr,14735.64,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,15 Pr,1219.49/Pr,18292.35,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,6 Pr,1227.97/Pr,7367.82,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,16 Pr,1508.47/Pr,24135.52,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,15 Pr,1507.63/Pr,22614.45,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,13 Pr,1505.08/Pr,19566.04,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,12 Pr,1521.19/Pr,18254.28,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,10 Pr,1643.22/Pr,16432.20,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,14 Pr,1639.83/Pr,22957.62,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,13 Pr,1625.42/Pr,21130.46,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,7 Pr,1627.12/Pr,11389.84,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,11 Pr,1636.44/Pr,18000.84,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,4 Pr,1620.34/Pr,6481.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Black,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - White,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,2 Pr,1270.34/Pr,2540.68,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,2 Pr,1270.34/Pr,2540.68,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,3 Pr,1609.32/Pr,4827.96,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - White,,,,2 Pr,1609.32/Pr,3218.64,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - White,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - White,,,,1 Pr,1609.32/Pr,1609.32,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - White,,,,1 Pr,1694.07/Pr,1694.07,,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XS,,,,1 Pr,257.14/Pr,257.14,,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - S,,,,6 Pr,257.14/Pr,1542.84,,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - M,,,,4 Pr,257.14/Pr,1028.56,,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - L,,,,10 Pr,257.14/Pr,2571.40,,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XL,,,,2 Pr,257.14/Pr,514.28,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,Walk in Customers - Rakhra,PSB25-26/INV-458,PSB25-26/INV-458,Being Sale of Goods - Accounted,45 Pr,,89059.50,105090.00 Dr,89059.50 Cr,8015.35 Cr,8015.35 Cr,0.20 Dr,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 03 UK) - White,,,,1 Pr,1805.08/Pr,1805.08,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 04 UK) - White,,,,2 Pr,1805.08/Pr,3610.16,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 05 UK) - White,,,,7 Pr,1991.53/Pr,13940.71,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 06 UK) - White,,,,7 Pr,1991.53/Pr,13940.71,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,9 Pr,1991.53/Pr,17923.77,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,8 Pr,1991.53/Pr,15932.24,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 09 UK) - White,,,,8 Pr,1991.53/Pr,15932.24,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 10 UK) - White,,,,2 Pr,1991.53/Pr,3983.06,,,,,,,,,,,,,,,,,,,,,,,
,Puma School Shoes (Size 11 UK) - White,,,,1 Pr,1991.53/Pr,1991.53,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,Walk in Customers - Plaeto,PSB25-26/INV-459,PSB25-26/INV-459,Being Sale of Goods - Accounted,57 Pr,,79827.90,94197.00 Dr,79827.90 Cr,7184.51 Cr,7184.51 Cr,0.08 Cr,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,3 Pr,1186.44/Pr,3559.32,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,4 Pr,1186.44/Pr,4745.76,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,3 Pr,1440.68/Pr,4322.04,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1440.68/Pr,2881.36,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1567.37/Pr,3134.74,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,3 Pr,1440.68/Pr,4322.04,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,4 Pr,1546.40/Pr,6185.60,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,4 Pr,1525.42/Pr,6101.68,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,4 Pr,1525.42/Pr,6101.68,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,1 Pr,1525.42/Pr,1525.42,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - White,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - White,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - White,,,,3 Pr,1186.44/Pr,3559.32,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,4 Pr,1186.44/Pr,4745.76,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - White,,,,1 Pr,1186.44/Pr,1186.44,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1440.68/Pr,1440.68,,,,,,,,,,,,,,,,,,,,,,,
