Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 18%,Round Off,Output IGST @ 12%,Output CGST @ 9%,Output SGST @ 9%,TCS on Sales (0.1%),Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Shipping Interstate GST @ 18%,Output IGST @ 5%,Input SGST @ 6%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 18%
01-Mar-25,"Lighthouse Learning Pvt Ltd.,",PSB24-25/INV-868,PSB24-25/INV-868,Being Sale of Goods - Accounted,252 Pr,,322092.00,380069.00 Dr,322092.00 Cr,57976.56 Cr,0.44 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Grey / Blue,,,,18 Pr,1211.00/Pr,21798.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Grey / Blue,,,,12 Pr,1305.00/Pr,15660.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Grey / Blue,,,,12 Pr,1305.00/Pr,15660.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Grey / Blue,,,,24 Pr,1305.00/Pr,31320.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Grey / Blue,,,,24 Pr,1305.00/Pr,31320.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Grey / Blue,,,,36 Pr,1305.00/Pr,46980.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Grey / Blue,,,,24 Pr,1305.00/Pr,31320.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 UK) - Grey / Blue,,,,48 Pr,1305.00/Pr,62640.00,,,,,,,,,,,,,,,,,,,,
03-Mar-25,VICTORY EDUCORP SOLUTIONS PVT LTD,PSB24-25/INV-869,PSB24-25/INV-869,Being Sale of Goods - Accounted,190 Pr,,166592.00,186583.00 Dr,166592.00 Cr,,0.04 Dr,19991.04 Cr,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,4 Pr,740.00/Pr,2960.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,12 Pr,740.00/Pr,8880.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,12 Pr,911.00/Pr,10932.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,12 Pr,911.00/Pr,10932.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,12 Pr,911.00/Pr,10932.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,12 Pr,911.00/Pr,10932.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,12 Pr,968.00/Pr,11616.00,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,6 Pr,968.00/Pr,5808.00,,,,,,,,,,,,,,,,,,,,
03-Mar-25,ELEMENTS BRAND MERCHANDISING,PSB24-25/INV-870,PSB24-25/INV-870,Being Sale of Goods - Accounted,2 Pr,,1402.00,1570.00 Dr,1402.00 Cr,,0.24 Dr,168.24 Cr,,,,,,,,,,,,,,,
