Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
01-May-25,Walk in Customers - Sahakar Nagar,PSB25-26/INV-207,PSB25-26/INV-207,Being Sale of Goods - Accounted,57 Pr,,93338.87,110140.00 Dr,93338.87 Cr,8400.50 Cr,8400.50 Cr,0.13 Cr,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - White,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - White,,,,1 Pr,1652.54/Pr,1652.54,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - White,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - White,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - White,,,,1 Pr,1822.03/Pr,1822.03,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08C) - Black,,,,1 Pr,1305.08/Pr,1305.08,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Black,,,,1 Pr,1313.56/Pr,1313.56,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,2 Pr,1313.56/Pr,2627.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,1305.08/Pr,2610.16,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,3 Pr,1313.56/Pr,3940.68,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,3 Pr,1313.56/Pr,3940.68,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,3 Pr,1652.54/Pr,4957.62,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,1 Pr,1627.12/Pr,1627.12,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,5 Pr,1652.54/Pr,8262.70,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1652.54/Pr,4957.62,,,,,,,,,,,,,,,,,,,,,
