Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 9%,Output SGST @ 9%,Output IGST @ 12%,Output CGST @ 6%,Output SGST @ 6%,Output IGST @ 18%,Shipping Local GST @ 12%,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Interstate GST @ 12%,Shipping Interstate GST @ 12,Local GST Sales @ 18%,Interstate GST Sales @ 18%,Local GST Sales @ 5%,Interstate GST Sales @ 5%,Shipping Local GST @ 18%,Shipping Interstate GST @ 18%,Shipping Interstate GST @ 18%
01-Sep-25,Arka International School,PSB2526/INV-1027,PSB2526/INV-1027,Being Sale of Goods - Accounted,14 Pcs,,11319.98,11886.00 Dr,11319.98 Cr,566.00 Cr,0.02 Cr,,,,,,,,,,,,,,,,,,
,Arka Golfer T Shirts - Maroon - L,,,,2 Pcs,808.57/Pcs,1617.14,,,,,,,,,,,,,,,,,,,,,,
,Arka Golfer T Shirts - Maroon - XL,,,,8 Pcs,808.57/Pcs,6468.56,,,,,,,,,,,,,,,,,,,,,,
,Arka Golfer T Shirts - Maroon - XXL,,,,4 Pcs,808.57/Pcs,3234.28,,,,,,,,,,,,,,,,,,,,,,
01-Sep-25,Sharanya Narayani International School,PSB2526/INV-1028,PSB2526/INV-1028,Being Sale of Goods - Accounted,10 Pr,,14330.50,16910.00 Dr,14330.50 Cr,,0.04 Cr,1289.73 Cr,1289.73 Cr,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - White,,,,1 Pr,1372.03/Pr,1372.03,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,4 Pr,1372.03/Pr,5488.12,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - White,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - White,,,,1 Pr,1524.58/Pr,1524.58,,,,,,,,,,,,,,,,,,,,,,
