Facility,Date,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Stock In Transfer,Open Purchase,Enabled,Updated,Cost Price
Bangalore,19-11-2025,GOL Ankle length Socks For Inventure School - Blue/Single pair(S),SAA0012-1,,,,,Sizes:S,GOL,School Accessories,149,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,
Bangalore,19-11-2025,GOL Ankle length Socks For Inventure School - Blue/Single pair(M),SAA0012-2,,,,,Sizes:M,GOL,School Accessories,149,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,
Bangalore,19-11-2025,GOL Ankle length Socks For Inventure School - Blue/Single pair(L),SAA0012-3,,,,,Sizes:L,GOL,School Accessories,149,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,
Bangalore,19-11-2025,GOL Ankle length Socks For Inventure School - Blue/Single pair(XL),SAA0012-4,,,,,Sizes:XL,GOL,School Accessories,149,0,0,0,0,0,0,0,0,TRUE,30-10-2025 12:13,
Bangalore,19-11-2025,SRI VANI SCHOOL SOCKS CREW LENGTH - BLUE (PACK OF 3) Size-XL,SAA0013-2,,,,,Sizes:XL,GOL,Default,449,0,0,0,0,0,0,0,0,TRUE,18-09-2025 17:43,
Bangalore,19-11-2025,GOL Ankle Length Plain Socks Pack of 3 - Plain Black(Size - XL),B2BGOLANKLPLNBLKSCK-XL,,,,,,GOL,Default,149,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,
Bangalore,19-11-2025,GOL Legacy School Socks - Pack of 3(SIZE-XS),GOLSOCKS02-5,,,,,XS,GOL,School Accessories,449,0,0,0,0,0,0,0,0,TRUE,25-08-2025 11:54,
Bangalore,19-11-2025,Gopalan International School Socks Crew Length - White (Pack of 3)) - XL,SSGOL002-5,,,,White,XL,GOL,School Accessories,449,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,246.95
Bangalore,19-11-2025,Gopalan International School Socks Crew Length - White (Pack of 3) - XS,SSGOL002-1,,,,White,XS,GOL,School Accessories,449,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,246.95
Bangalore,19-11-2025,Gopalan International School Socks Crew Length - White (Pack of 3) - L,SSGOL002-4,,,,,L,GOL,School Accessories,,0,0,0,0,0,0,0,0,TRUE,17-06-2025 17:30,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Orange (Size 22 to 28)-28,SUET007-28,,,,Orange,28,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,22-04-2025 12:55,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Green (Size 30 to 36)-36,SUET002-36,,,,Green,36,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,01-04-2025 14:49,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Blue (Size 30 to 36)-34,SUET010-34,,,,Blue,34,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,22-04-2025 12:57,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Green (Size 22 to 28)-24,SUET001-24,,,,Green,24,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,10-05-2025 15:41,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Yellow (Size 30 to 36)-30,SUET005-30,,,,Yellow,30,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,10-05-2025 15:41,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Yellow (Size 30 to 36)-34,SUET005-34,,,,Yellow,34,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,10-05-2025 15:41,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Green (Size 30 to 36)-30,SUET002-30,,,,Green,30,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,20-08-2025 22:21,
Bangalore,19-11-2025,GOL Ekya School T-Shirt - Green (Size 30 to 36)-32,SUET002-32,,,,Green,32,GOL,School Accessories,900,0,0,0,0,0,0,0,0,TRUE,20-08-2025 22:21,
