Sale Order Item Code,Display Order Code,Store,Reverse Pickup Code,Reverse Pickup Created Date,Reverse Pickup Reason,Require Customization,COD,Shipping Address Id,Category,Invoice Code,Invoice Created,EWayBill No,EWayBill Date,EWayBill Valid Till,Billing Address City,Billing Address State,Billing Address Country,Billing Address Pincode,Billing Address Latitude,Billing Address Longitude,Shipping Method,Item SKU Code,Channel Product Id,Item Type Name,Item Type Color,Item Type Size,Item Type Brand,Channel Name,SKU Require Customization,Gift Wrap,Gift Message,HSN Code,MRP,Total Price,Selling Price,Cost Price,Prepaid Amount,Subtotal,Discount,GST Tax Type Code,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,TCS Amount,Tax %,Tax Value,Voucher Code,Shipping Charges,Shipping Method Charges,COD Service Charges,Gift Wrap Charges,Packet Number,Order Date as dd/mm/yyyy hh:MM:ss,Sale Order Code,On Hold,Sale Order Status,Priority,Currency,Currency Conversion Rate,Sale Order Item Status,Cancellation Reason,Shipping provider,Shipping Courier,Shipping Arranged By,Shipping Package Code,Shipping Package Creation Date,Shipping Package Status Code,Shipping Package Type,Length(mm),Width(mm),Height(mm),Delivery Time,Tracking Number,Dispatch Date,Facility,Return Date,Return Reason,Return Remarks,Created,Updated,Combination Identifier,Combination Description,Transfer Price,Item Code,IMEI,Weight,GSTIN,Customer GSTIN,TIN,Payment Instrument,Fulfillment TAT,Adjustment In Selling Price,Adjustment In Discount,Store Credit,IRN,Acknowledgement Number,Bundle SKU Code Number,SKU Name,Batch Code,Vendor Batch Number,Seller SKU Code,Item Type EAN,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Parent Sale Order Code,Item Tag,Shipment Tag,Original Order ID,Payment Method,Store Code,Channel Shipping,Item Details
440649-0,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,SSGOL004-2,SSGOL004-2,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,Blue,M,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,,,SSGOL004-2,,,,,,,,,cashfree,,FALSE,
440649-1,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,SSGOL004-2,SSGOL004-2,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,Blue,M,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,,,SSGOL004-2,,,,,,,,,cashfree,,FALSE,
440649-2,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,SSGOL004-2,SSGOL004-2,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,Blue,M,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - M,,,SSGOL004-2,,,,,,,,,cashfree,,FALSE,
440651-0,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,SSGOL006-7,SSGOL006-7,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : M",White,M,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,205,0,,0,gst-5,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : M",,,SSGOL006-7,,,,,,,,,cashfree,,FALSE,
440653-0,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,RBKPB001-2,RBKPB001-2,Reebok Prodigy Black School Shoes - 2US,Black,2US,Reebok,schools365,FALSE,FALSE,,64041990,2699,2112.51,2039,,0,,0,Range-5-18,,,,,,,,,,,,,,,73.51,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,17-02-2026 15:10,,,,,,,,,,,06-02-2026 08:50,,,,,,,Reebok Prodigy Black School Shoes - 2US,,,RBKPB001-2,,,,,,,,,cashfree,,FALSE,
440655-0,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,KYTP001-26,KYTP001-26,GOL Sri Kumaran Yogapant - Black - Size : 26,Black,26,GOL,schools365,FALSE,FALSE,,61034200,999,651.68,629,,0,,0,gst-5,,,,,,,,,,,,,,,22.68,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,GOL Sri Kumaran Yogapant - Black - Size : 26,,,KYTP001-26,,,,,,,,,cashfree,,FALSE,
440657-0,S2000067022,Online,,,,FALSE,0,11419815,School Accessories,,,,,,Bengaluru,Karnataka,IN,560109,,,STD,KCSFS001-30,KCSFS001-30,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,Navy Blue,30,GOL,schools365,FALSE,FALSE,,61102000,999,900.33,869,,0,,0,gst-5,,,,,,,,,,,,,,,31.33,0,0,0,1,01-02-2026 08:48,SC-S2000067022,FALSE,PROCESSING,0,INR,1,UNFULFILLABLE,,,,Self,,,,,,,,,,,Bangalore new,,,,01-02-2026 08:50,11-02-2026 14:05,,,,,,,,,,,06-02-2026 08:50,,,,,,,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,,,KCSFS001-30,,,,,,,,,cashfree,,FALSE,
440659-0,S2000067023,Online,,,,FALSE,0,11419819,School Accessories,,,,,,Bangalore ,Karnataka,IN,560019,,,STD,RBKPB001-3,RBKPB001-3,Reebok Prodigy Black School Shoes - 3US,Black,3US,Reebok,schools365,FALSE,FALSE,,64041990,2699,2100.45,2039,,0,,0,Range-5-18,,,,,,,,,,,,,,,61.45,0,0,0,1,01-02-2026 08:53,SC-S2000067023,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00134,17-02-2026 15:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 09:00,17-02-2026 15:10,,,,,,5,,,,,06-02-2026 09:00,,,,,,,Reebok Prodigy Black School Shoes - 3US,,,RBKPB001-3,,,,,,,,,cashfree,,FALSE,
440661-0,S2000067023,Online,,,,FALSE,0,11419819,School Accessories,,,,,,Bangalore ,Karnataka,IN,560019,,,STD,KYTP001-28,KYTP001-28,GOL Sri Kumaran Yogapant - Black - Size : 28,Black,28,GOL,schools365,FALSE,FALSE,,61034200,999,647.95,629,,0,,0,gst-5,,,,,,,,,,,,,,,18.95,0,0,0,1,01-02-2026 08:53,SC-S2000067023,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00134,17-02-2026 15:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 09:00,17-02-2026 15:10,,,,,,5,,,,,06-02-2026 09:00,,,,,,,GOL Sri Kumaran Yogapant - Black - Size : 28,,,KYTP001-28,,,,,,,,,cashfree,,FALSE,
440661-1,S2000067023,Online,,,,FALSE,0,11419819,School Accessories,,,,,,Bangalore ,Karnataka,IN,560019,,,STD,KYTP001-28,KYTP001-28,GOL Sri Kumaran Yogapant - Black - Size : 28,Black,28,GOL,schools365,FALSE,FALSE,,61034200,999,647.95,629,,0,,0,gst-5,,,,,,,,,,,,,,,18.95,0,0,0,1,01-02-2026 08:53,SC-S2000067023,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00134,17-02-2026 15:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 09:00,17-02-2026 15:10,,,,,,5,,,,,06-02-2026 09:00,,,,,,,GOL Sri Kumaran Yogapant - Black - Size : 28,,,KYTP001-28,,,,,,,,,cashfree,,FALSE,
