Sale Order Item Code,Display Order Code,Store,Date,Reverse Pickup Code,Reverse Pickup Created Date,Reverse Pickup Reason,Invoice Code,Invoice Created,Item SKU Code,Channel Product Id,Product,Item Type Color,Item Type Size,Item Type Brand,Channel Name,SKU Require Customization,Gift Wrap,Gift Message,HSN Code,MRP,Total Price,Amount,Quantity Ordered,Cost Price,Prepaid Amount,Subtotal,Discount,GST Tax Type Code,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,TCS Amount,Tax %,Tax Value,Voucher Code,Shipping Charges,Shipping Method Charges,COD Service Charges,Gift Wrap Charges,Packet Number,Sale Order Code,On Hold,Sale Order Status,Priority,Currency,Currency Conversion Rate,Sale Order Item Status,Cancellation Reason,Shipping provider,Shipping Courier,Shipping Arranged By,Shipping Package Code,Shipping Package Creation Date,Shipping Package Status Code,Shipping Package Type,Length(mm),Width(mm),Height(mm),Delivery Time,Tracking Number,Dispatch Date,Facility,Return Date,Return Reason,Return Remarks,Created,Updated,Combination Identifier,Combination Description,Transfer Price,Item Code,IMEI,Weight,GSTIN,Customer GSTIN,TIN,Payment Instrument,Fulfillment TAT,Adjustment In Selling Price,Adjustment In Discount,Store Credit,IRN,Acknowledgement Number,Bundle SKU Code Number,SKU Name,Batch Code,Vendor Batch Number,Seller SKU Code,Item Type EAN,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Parent Sale Order Code,Item Tag,Shipment Tag,Original Order ID,Payment Method,Store Code,Channel Shipping,Item Details
434611-0,S2000065216,schools365,01-08-2025 07:05,,,,INS/25-26/11328,01-08-2025 12:30,SDSTPNB07-36,SDSTPNB07-36,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 36,Navy Blue,36,GOL,schools365,FALSE,FALSE,,61034200,999,605.21,530,1,,0,504.76,0,gst-5,0,28.82,0,0,0,0,5,0,0,0,0.00E+00,,,,75.21,0,0,0,1,SC-S2000065216,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610949,01-08-2025 08:12,DISPATCHED,DEFAULT,0,0,0,,HRD900041419,01-08-2025 18:13,Bangalore,,,,01-08-2025 08:10,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 08:10,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 36,,,SDSTPNB07-36,,,,,,,,,cashfree,,FALSE,
434613-0,S2000065216,schools365,01-08-2025 07:05,,,,INS/25-26/11328,01-08-2025 12:30,SDSTS003-38,SDSTS003-38,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 38,Light Blue,38,GOL,schools365,FALSE,FALSE,,61091000,999,593.79,520,1,,0,495.24,0,gst-5,0,28.27,0,0,0,0,5,0,0,0,0.00E+00,,,,73.79,0,0,0,1,SC-S2000065216,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610949,01-08-2025 08:12,DISPATCHED,DEFAULT,0,0,0,,HRD900041419,01-08-2025 18:13,Bangalore,,,,01-08-2025 08:10,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 08:10,0,0,0,,,,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 38,,,SDSTS003-38,,,,,,,,,cashfree,,FALSE,
434615-0,S2000065217,schools365,01-08-2025 09:36,,,,INS/25-26/11327,01-08-2025 12:30,GOLSOCKS02-2,GOLSOCKS02-2,GOL Legacy School Socks - Pack of 3(Size=M),,M,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.95,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065217,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610950,01-08-2025 09:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041418,01-08-2025 18:13,Bangalore,,,,01-08-2025 09:40,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 09:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=M),,,GOLSOCKS02-2,,,,,,,,,cashfree,,FALSE,
434615-1,S2000065217,schools365,01-08-2025 09:36,,,,INS/25-26/11327,01-08-2025 12:30,GOLSOCKS02-2,GOLSOCKS02-2,GOL Legacy School Socks - Pack of 3(Size=M),,M,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.95,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065217,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610950,01-08-2025 09:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041418,01-08-2025 18:13,Bangalore,,,,01-08-2025 09:40,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 09:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=M),,,GOLSOCKS02-2,,,,,,,,,cashfree,,FALSE,
434619-0,S2000065218,schools365,01-08-2025 11:37,,,,INS/25-26/11326,01-08-2025 12:29,GOLSOCKS02-2,GOLSOCKS02-2,GOL Legacy School Socks - Pack of 3(Size=M),,M,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.96,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065218,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610951,01-08-2025 11:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041417,01-08-2025 18:13,Bangalore,,,,01-08-2025 11:40,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 11:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=M),,,GOLSOCKS02-2,,,,,,,,,cashfree,,FALSE,
434617-0,S2000065218,schools365,01-08-2025 11:37,,,,INS/25-26/11326,01-08-2025 12:29,GOLSOCKS02-4,GOLSOCKS02-4,GOL Legacy School Socks - Pack of 3(Size=XL),,XL,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.96,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065218,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610951,01-08-2025 11:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041417,01-08-2025 18:13,Bangalore,,,,01-08-2025 11:40,01-08-2025 18:13,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 11:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=XL),,,GOLSOCKS02-4,,,,,,,,,cashfree,,FALSE,
434621-0,S2000065219,schools365,01-08-2025 12:46,,,,INS/25-26/11338,01-08-2025 17:31,SDSTPNB08-42,SDSTPNB08-42,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 42,Navy Blue,42,GOL,schools365,FALSE,FALSE,,61034200,999,689,540,1,,0,514.29,0,gst-5,0,32.81,0,0,0,0,5,0,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065219,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610952,01-08-2025 12:52,DISPATCHED,DEFAULT,1,1,1,,HRD900041428,01-08-2025 18:13,Bangalore,,,,01-08-2025 12:50,01-08-2025 18:13,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 12:50,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 42,,,SDSTPNB08-42,,,,,,,,,cashfree,,FALSE,
434623-0,S2000065220,schools365,01-08-2025 12:51,,,,INS/25-26/11333,01-08-2025 13:36,PSSB006-4,PSSB006-4,Plaeto Big Kid - Nova Unisex School Shoes - 8 UK - Black,Black,8 UK,Plaeto,schools365,FALSE,FALSE,,640419,2699,2449,2300,1,2699,0,1949.16,0,Range-5-18,186.78,0,186.78,0,0,9,0,9,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065220,FALSE,COMPLETE,0,INR,1,DISPATCHED,,SELF,SELF,Self,SPOR2610953,01-08-2025 13:02,DISPATCHED,DEFAULT,1,1,1,,cx self picked porter167,01-08-2025 18:10,Bangalore,,,,01-08-2025 13:00,01-08-2025 18:10,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 13:00,0,0,0,,,,Plaeto Big Kid - Nova Unisex School Shoes - 8 UK - Black,,,PSSB006-4,,,,,,,,,cashfree,,FALSE,
434633-0,S2000065224,schools365,01-08-2025 14:56,,,,INS/25-26/11337,01-08-2025 17:30,SDSTPNB07-34,SDSTPNB07-34,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 34,Navy Blue,34,GOL,schools365,FALSE,FALSE,,61034200,999,580.95,530,1,,0,504.76,0,gst-5,0,27.665,0,0,0,0,5,0,0,0,0.00E+00,,,,50.95,0,0,0,1,SC-S2000065224,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610954,01-08-2025 15:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041427,01-08-2025 18:13,Bangalore,,,,01-08-2025 15:00,01-08-2025 18:13,,,,,,503,29AAHCP5883A1Z7,,29141195654,,06-08-2025 15:00,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 34,,,SDSTPNB07-34,,,,,,,,,cashfree,,FALSE,
434633-1,S2000065224,schools365,01-08-2025 14:56,,,,INS/25-26/11337,01-08-2025 17:30,SDSTPNB07-34,SDSTPNB07-34,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 34,Navy Blue,34,GOL,schools365,FALSE,FALSE,,61034200,999,580.95,530,1,,0,504.76,0,gst-5,0,27.665,0,0,0,0,5,0,0,0,0.00E+00,,,,50.95,0,0,0,1,SC-S2000065224,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610954,01-08-2025 15:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041427,01-08-2025 18:13,Bangalore,,,,01-08-2025 15:00,01-08-2025 18:13,,,,,,503,29AAHCP5883A1Z7,,29141195654,,06-08-2025 15:00,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 34,,,SDSTPNB07-34,,,,,,,,,cashfree,,FALSE,
